"id";"diacritics";"encoding"
1;"َ";"10000000000000"
2;"";"01000000000000"
3;"ٌّ";"00100000000000"
4;"ِّ";"00010000000000"
5;"ُّ";"00001000000000"
6;"ً";"00000100000000"
7;"ِ";"00000010000000"
8;"ٍ";"00000001000000"
9;"ًّ";"00000000100000"
10;"ٌ";"00000000010000"
11;"ْ";"00000000001000"
12;"ُ";"00000000000100"
13;"َّ";"00000000000010"
14;"ٍّ";"00000000000001"
