id,arabic_letters_with_diacritics
462,عًّ
463,غًّ
464,فًّ
465,قًّ
466,كًّ
467,لًّ
468,مًّ
469,نًّ
470,هًّ
471,وًّ
472,ؤًّ
473,يًّ
474,ىًّ
475,اًّ
476,اَ
477,اَّ
478,آَّ
479,أٍ
