"idword";"word";"SentenceNumber";"DocName"
120;"كَانُوا";"17";"quran-simple.txt"
121;"يَكْذِبُونَ";"17";"quran-simple.txt"
122;"وَإِذَا";"18";"quran-simple.txt"
123;"قِيلَ";"18";"quran-simple.txt"
124;"لَهُمْ";"18";"quran-simple.txt"
125;"لَا";"18";"quran-simple.txt"
126;"تُفْسِدُوا";"18";"quran-simple.txt"
127;"فِي";"18";"quran-simple.txt"
128;"الْأَرْضِ";"18";"quran-simple.txt"
129;"قَالُوا";"18";"quran-simple.txt"
130;"إِنَّمَا";"18";"quran-simple.txt"
131;"نَحْنُ";"18";"quran-simple.txt"
132;"مُصْلِحُونَ";"18";"quran-simple.txt"
133;"أَلَا";"19";"quran-simple.txt"
134;"إِنَّهُمْ";"19";"quran-simple.txt"
135;"هُمُ";"19";"quran-simple.txt"
136;"الْمُفْسِدُونَ";"19";"quran-simple.txt"
137;"وَلَكِنْ";"19";"quran-simple.txt"
138;"لَا";"19";"quran-simple.txt"
139;"يَشْعُرُونَ";"19";"quran-simple.txt"
140;"وَإِذَا";"20";"quran-simple.txt"
141;"قِيلَ";"20";"quran-simple.txt"
142;"لَهُمْ";"20";"quran-simple.txt"
143;"آمِنُوا";"20";"quran-simple.txt"
144;"كَمَا";"20";"quran-simple.txt"
145;"آمَنَ";"20";"quran-simple.txt"
146;"النَّاسُ";"20";"quran-simple.txt"
147;"قَالُوا";"20";"quran-simple.txt"
148;"أَنُؤْمِنُ";"20";"quran-simple.txt"
149;"كَمَا";"20";"quran-simple.txt"
150;"آمَنَ";"20";"quran-simple.txt"
151;"السُّفَهَاءُ";"20";"quran-simple.txt"
152;"أَلَا";"20";"quran-simple.txt"
153;"إِنَّهُمْ";"20";"quran-simple.txt"
154;"هُمُ";"20";"quran-simple.txt"
155;"السُّفَهَاءُ";"20";"quran-simple.txt"
156;"وَلَكِنْ";"20";"quran-simple.txt"
157;"لَا";"20";"quran-simple.txt"
158;"يَعْلَمُونَ";"20";"quran-simple.txt"
159;"وَإِذَا";"21";"quran-simple.txt"
160;"لَقُوا";"21";"quran-simple.txt"
161;"الَّذِينَ";"21";"quran-simple.txt"
162;"آمَنُوا";"21";"quran-simple.txt"
163;"قَالُوا";"21";"quran-simple.txt"
164;"آمَنَّا";"21";"quran-simple.txt"
165;"وَإِذَا";"21";"quran-simple.txt"
166;"خَلَوْا";"21";"quran-simple.txt"
167;"إِلَى";"21";"quran-simple.txt"
168;"شَيَاطِينِهِمْ";"21";"quran-simple.txt"
169;"قَالُوا";"21";"quran-simple.txt"
170;"إِنَّا";"21";"quran-simple.txt"
171;"مَعَكُمْ";"21";"quran-simple.txt"
172;"إِنَّمَا";"21";"quran-simple.txt"
173;"نَحْنُ";"21";"quran-simple.txt"
174;"مُسْتَهْزِئُونَ";"21";"quran-simple.txt"
175;"اللَّهُ";"22";"quran-simple.txt"
176;"يَسْتَهْزِئُ";"22";"quran-simple.txt"
177;"بِهِمْ";"22";"quran-simple.txt"
178;"وَيَمُدُّهُمْ";"22";"quran-simple.txt"
179;"فِي";"22";"quran-simple.txt"
180;"طُغْيَانِهِمْ";"22";"quran-simple.txt"
181;"يَعْمَهُونَ";"22";"quran-simple.txt"
182;"أُولَئِكَ";"23";"quran-simple.txt"
183;"الَّذِينَ";"23";"quran-simple.txt"
184;"اشْتَرَوُا";"23";"quran-simple.txt"
185;"الضَّلَالَةَ";"23";"quran-simple.txt"
186;"بِالْهُدَى";"23";"quran-simple.txt"
187;"فَمَا";"23";"quran-simple.txt"
188;"رَبِحَتْ";"23";"quran-simple.txt"
189;"تِجَارَتُهُمْ";"23";"quran-simple.txt"
190;"وَمَا";"23";"quran-simple.txt"
191;"كَانُوا";"23";"quran-simple.txt"
192;"مُهْتَدِينَ";"23";"quran-simple.txt"
193;"مَثَلُهُمْ";"24";"quran-simple.txt"
194;"كَمَثَلِ";"24";"quran-simple.txt"
195;"الَّذِي";"24";"quran-simple.txt"
196;"اسْتَوْقَدَ";"24";"quran-simple.txt"
197;"نَارًا";"24";"quran-simple.txt"
198;"فَلَمَّا";"24";"quran-simple.txt"
199;"أَضَاءَتْ";"24";"quran-simple.txt"
200;"مَا";"24";"quran-simple.txt"
