Started in hybrid online/batch training mode.
Sequences will be shuffled within and across mini-batches during training.
The trained network will be written to 'savedNetwork.jsn'.
WARNING: The output file 'savedNetwork.jsn' already exists. It will be overwritten!
Validation error will be calculated every 1 epochs.
Test error will be calculated every 10 epochs.
Training will be stopped after 200 epochs or if there is no new lowest validation error within 20 epochs.
Autosave on BEST VALIDATION ERROR enabled.
WARNING: CUDA option not set. Computations will be performed on the CPU!
Uniform distribution with range [-0.1, 0.1]. Random seed: 3864690467

Reading network from 'D:\CurrenntRepo\CurrenntVS\CURRENNT\ArabicDiacritizationExample\network.jsn'... done.

Loading training set 'D:\CurrenntRepo\CurrenntVS\CURRENNT\ArabicDiacritizationExample\trainingNCFile.nc' ...
using cache file: C:\Users\MOHAME~1\AppData\Local\Temp\6fee-5c59-3572-5e43
... done.
Loaded fraction:  100%
Sequences:        3566
Sequence lengths: 2..551
Total timesteps:  231600

Loading validation set 'D:\CurrenntRepo\CurrenntVS\CURRENNT\ArabicDiacritizationExample\validationNCFile.nc' ...
using cache file: C:\Users\MOHAME~1\AppData\Local\Temp\b9b8-1d2b-33b1-2653
... done.
Loaded fraction:  100%
Sequences:        1024
Sequence lengths: 2..294
Total timesteps:  49630

Loading test set 'D:\CurrenntRepo\CurrenntVS\CURRENNT\ArabicDiacritizationExample\testingNCFile.nc' ...
using cache file: C:\Users\MOHAME~1\AppData\Local\Temp\b884-4131-ea6d-803f
... done.
Loaded fraction:  100%
Sequences:        1646
Sequence lengths: 5..329
Total timesteps:  49479

Creating the neural network... done.
Layers:
(0) input [size: 36]
(1) blstm [size: 450, bias: 1.0, weights: 472950]
(2) softmax [size: 14, bias: 1.0, weights: 6314]
(3) multiclass_classification [size: 14]
Total weights: 479264


Creating the optimizer... done.
Optimizer type: Steepest descent with momentum
Max training epochs:       200
Max epochs until new best: 20
Validation error every:    1
Test error every:          10
Learning rate:             1e-05
Momentum:                  0.9

Starting training...

 Epoch | Duration |  Training error  | Validation error |    Test error    | New best
    55 |    533.8 | 21.30%    40.847 | 21.33%    30.561 |                  |  yes
    56 |    537.5 | 21.13%    40.561 | 21.45%    30.597 |                  |  no
    57 |    511.2 | 20.96%    40.226 | 20.97%    30.345 |                  |  yes
    58 |    502.7 | 20.82%    39.894 | 20.85%    30.033 |                  |  yes
    59 |    505.0 | 20.63%    39.613 | 20.71%    29.743 |                  |  yes
    60 |    535.6 | 20.46%    39.312 | 20.58%    29.619 | 24.06%    21.355 |  yes
    61 |    505.2 | 20.31%    39.032 | 20.50%    29.456 |                  |  yes
    62 |    504.4 | 20.19%    38.743 | 20.32%    29.285 |                  |  yes
    63 |    499.4 | 19.99%    38.429 | 20.53%    29.574 |                  |  no
    64 |    489.6 | 19.88%    38.205 | 20.28%    29.256 |                  |  yes
    65 |    492.5 | 19.66%    37.873 | 19.91%    28.746 |                  |  yes
    66 |    493.3 | 19.54%    37.665 | 20.31%    28.992 |                  |  no
    67 |    490.3 | 19.42%    37.341 | 20.08%    28.684 |                  |  yes
    68 |    497.3 | 19.28%    37.120 | 19.73%    28.358 |                  |  yes
    69 |    498.1 | 19.16%    36.855 | 19.71%    28.454 |                  |  no
    70 |    528.1 | 18.98%    36.572 | 20.59%    29.149 | 23.83%    21.146 |  no
    71 |    494.9 | 18.88%    36.335 | 19.20%    27.662 |                  |  yes
    72 |    500.3 | 18.72%    36.111 | 19.40%    27.886 |                  |  no
    73 |    497.5 | 18.62%    35.884 | 19.27%    27.554 |                  |  yes
    74 |    502.7 | 18.48%    35.611 | 19.01%    27.407 |                  |  yes
    75 |    500.2 | 18.41%    35.416 | 19.10%    27.372 |                  |  yes
    76 |    500.5 | 18.26%    35.207 | 18.66%    26.961 |                  |  yes
    77 |    500.3 | 18.06%    34.922 | 18.71%    26.876 |                  |  yes
    78 |    499.8 | 17.98%    34.769 | 18.72%    26.972 |                  |  no
    79 |    494.7 | 17.92%    34.530 | 18.64%    26.848 |                  |  yes
    80 |    527.8 | 17.74%    34.259 | 19.09%    27.081 | 22.62%    19.986 |  no
    81 |    497.6 | 17.67%    34.073 | 18.81%    26.964 |                  |  no
    82 |    494.2 | 17.59%    33.861 | 18.32%    26.408 |                  |  yes
    83 |    499.2 | 17.43%    33.659 | 17.95%    26.025 |                  |  yes
    84 |    500.9 | 17.34%    33.469 | 17.87%    25.954 |                  |  yes
    85 |    499.6 | 17.19%    33.244 | 18.53%    26.771 |                  |  no
    86 |    494.8 | 17.10%    33.079 | 17.86%    25.855 |                  |  yes
    87 |    493.3 | 16.98%    32.845 | 17.77%    25.718 |                  |  yes
    88 |    493.6 | 16.85%    32.605 | 17.88%    25.819 |                  |  no
    89 |    493.4 | 16.79%    32.468 | 17.69%    25.590 |                  |  yes
    90 |    527.2 | 16.70%    32.228 | 17.79%    25.506 | 21.68%    19.172 |  yes
    91 |    496.7 | 16.60%    32.079 | 17.73%    25.545 |                  |  no
    92 |    494.0 | 16.44%    31.880 | 17.25%    25.067 |                  |  yes
    93 |    496.9 | 16.40%    31.685 | 17.31%    25.001 |                  |  yes
    94 |    499.2 | 16.21%    31.479 | 17.49%    25.334 |                  |  no
    95 |    497.6 | 16.18%    31.310 | 17.33%    24.990 |                  |  yes
    96 |    498.8 | 16.06%    31.157 | 16.93%    24.707 |                  |  yes
    97 |    498.1 | 16.00%    30.950 | 16.90%    24.608 |                  |  yes
